FeedbackID,OrderID,CustomerID,FeedbackDate,Rating,Satisfaction,RecommendLikelihood,ProductCategory,Comments
FB00742,ORD01452,C0007,2023-01-04,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00715,ORD01674,C0294,2023-01-09,5,Very Satisfied,10,Home Appliances,Fast delivery and great customer service.
FB00853,ORD02382,C0059,2023-01-09,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00529,ORD00716,C0273,2023-01-11,4,Satisfied,7,Home Appliances,Satisfied with the purchase.
FB00684,ORD01998,C0281,2023-01-12,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00287,ORD01926,C0091,2023-01-14,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00400,ORD02019,C0120,2023-01-16,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00961,ORD00553,C0153,2023-01-21,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00080,ORD01784,C0104,2023-01-22,4,Satisfied,8,Home Appliances,Satisfied with the purchase.
FB00942,ORD00312,C0324,2023-01-23,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00384,ORD00254,C0186,2023-01-23,3,Neutral,5,Electronics,"Average quality, expected more."
FB00886,ORD00977,C0005,2023-01-23,5,Very Satisfied,10,Lifestyle Goods,Best purchase I have made this year!
FB00389,ORD02205,C0193,2023-01-27,3,Neutral,6,Home Appliances,"Product is okay, nothing special."
FB00450,ORD02015,C0078,2023-01-28,4,Satisfied,8,Electronics,Happy with the quality.
FB00084,ORD00633,C0124,2023-01-28,3,Neutral,7,Electronics,"Product is okay, nothing special."
FB00830,ORD01633,C0467,2023-01-31,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00385,ORD00781,C0046,2023-01-31,4,Satisfied,9,Home Appliances,Satisfied with the purchase.
FB00055,ORD02199,C0170,2023-02-03,5,Very Satisfied,9,Electronics,Excellent product quality! Highly recommend.
FB00634,ORD01362,C0336,2023-02-04,4,Satisfied,7,Home Appliances,"Product is fine, delivery was on time."
FB00793,ORD02469,C0034,2023-02-05,4,Satisfied,9,Home Appliances,Meets my needs perfectly.
FB00424,ORD01318,C0089,2023-02-06,3,Neutral,6,Electronics,"Average quality, expected more."
FB00328,ORD00427,C0042,2023-02-07,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00428,ORD02231,C0484,2023-02-08,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00054,ORD00829,C0405,2023-02-08,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00796,ORD01967,C0395,2023-02-10,3,Neutral,6,Home Appliances,"Average quality, expected more."
FB00259,ORD01739,C0333,2023-02-11,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00863,ORD01222,C0151,2023-02-12,5,Very Satisfied,9,Electronics,Will definitely buy again.
